Steel,7.87,2.361,0.452,1425,2971,250,6200
Aluminum,2.7,0.81,0.91,660,2467,321,10500
Copper,8.96,2.688,0.38,1100,2600,210,4700
Magnesium,1.74,0.522,1,650,1100,370,5300
Iron,7.9,2.37,0.46,1500,3000,250,6300
Titanium,4.5,1.35,0.52,1700,3700,320,8800
